,Abbotts babbler,Abbotts booby,Abyssinian ground hornbill,African emerald cuckoo,African firefinch,African oystercatcher,African pygmy goose,African pygmy kingfisher,Albatross,Alberts towhee,Alexandrine parakeet,Alpine chough,Altamira yellowthroat,American avocet,American bittern,American coot,American dipper,American flamingo,American goldfinch,American kestrel,American redstart,American robin,American wigeon,Amethyst woodstar,Andean goose,Andean lapwing,Andean siskin,Anhinga,Anianiau,Annas hummingbird,Antbird,Apapane,Apostlebird,Araripe manakin,Ashy storm petrel,Ashy thrush,Asian fairy-bluebird,Asian green bee-eater,Asian openbill,Atlantic canary,Auckland shag,Austral canastero,Australasian figbird,Australian brushturkey,Azaras spinetail,Azure jay,Azure tit,Azure-breasted pitta,Azure-shouldered tanager,Precision,Recall,f1-score
Asian fairy-bluebird,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,3,0,1,1,2,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0.08333333333333333,0.047430830039525695,0.06045340050377834
Asian green bee-eater,0,2,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,0,1,3,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0.0,0.0,0.0
Asian openbill,0,0,1,0,2,2,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0.0,0.0,0.0
Atlantic canary,1,0,0,1,2,2,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,0,0,0,0.0,0.0,0.0
Auckland shag,0,2,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0.0,0.0,0.0
Austral canastero,1,0,0,1,1,0,0,0,2,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,1,0,4,0,1,0,0,0,0,1,0.16,0.1890359168241966,0.1733102253032929
Australasian figbird,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,1,0,1,0,0,1,1,0,2,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0.07142857142857142,0.04745762711864406,0.057026476578411395
Australian brushturkey,0,2,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,3,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0.0,0.0,0.0
Azaras spinetail,0,0,1,1,0,2,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,2,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,2,0.0625,0.04747774480712166,0.053962900505902196
Azure jay,1,1,0,0,0,0,0,0,2,1,1,1,0,0,0,0,3,0,1,1,0,1,0,0,0,0,1,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.045454545454545456,0.04751619870410367,0.046462513199577615
Azure tit,0,0,0,0,0,0,1,0,0,2,1,1,0,0,1,0,1,2,1,0,0,0,0,1,1,0,0,2,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0.05555555555555555,0.047493403693931395,0.05120910384068278
Azure-breasted pitta,1,0,1,1,4,0,1,1,1,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0
Azure-shouldered tanager,0,1,1,0,1,0,1,1,0,0,0,2,1,0,0,2,0,0,0,1,1,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0.0,0.0,0.0
